Year,Gender,Age,Scenario,Abdominal_obesity,No_abdominal_obesity,Cohort
2011,Men,35,Baseline,0.249215335,0.750784665,1976
2011,Men,36,Baseline,0.265904909,0.734095091,1975
2011,Men,37,Baseline,0.281554702,0.718445298,1974
2011,Men,38,Baseline,0.296168386,0.703831614,1973
2011,Men,39,Baseline,0.309750193,0.690249807,1972
2011,Men,40,Baseline,0.322305031,0.677694969,1971
2011,Men,41,Baseline,0.333838635,0.666161365,1970
2011,Men,42,Baseline,0.34435775,0.65564225,1969
2011,Men,43,Baseline,0.353870374,0.646129626,1968
2011,Men,44,Baseline,0.362386075,0.637613925,1967
2011,Men,45,Baseline,0.369916412,0.630083588,1966
2011,Men,46,Baseline,0.376475489,0.623524511,1965
2011,Men,47,Baseline,0.382080715,0.617919285,1964
2011,Men,48,Baseline,0.386755358,0.613244642,1963
2011,Men,49,Baseline,0.390533735,0.609466265,1962
2011,Men,50,Baseline,0.393456179,0.606543821,1961
2011,Men,51,Baseline,0.39556762,0.60443238,1960
2011,Men,52,Baseline,0.396917782,0.603082218,1959
2011,Men,53,Baseline,0.397556179,0.602443821,1958
2011,Men,54,Baseline,0.397508952,0.602491048,1957
2011,Men,55,Baseline,0.396770758,0.603229242,1956
2011,Men,56,Baseline,0.395278222,0.604721778,1955
2011,Men,57,Baseline,0.39281709,0.60718291,1954
2011,Men,58,Baseline,0.388658802,0.611341198,1953
2011,Men,59,Baseline,0.381417751,0.618582249,1952
2011,Men,60,Baseline,0.378459897,0.621540103,1951
2011,Men,61,Baseline,0.380836192,0.619163808,1950
2011,Men,62,Baseline,0.3799315,0.6200685,1949
2011,Men,63,Baseline,0.377217925,0.622782075,1948
2011,Men,64,Baseline,0.37583636,0.62416364,1947
2011,Men,65,Baseline,0.370943621,0.629056379,1946
2011,Men,66,Baseline,0.357493662,0.642506338,1945
2011,Men,67,Baseline,0.349805403,0.650194597,1944
2011,Men,68,Baseline,0.345724805,0.654275195,1943
2011,Men,69,Baseline,0.339677189,0.660322811,1942
2011,Men,70,Baseline,0.33795328,0.66204672,1941
2011,Men,71,Baseline,0.347230111,0.652769889,1940
2011,Men,72,Baseline,0.350650527,0.649349473,1939
2011,Men,73,Baseline,0.350240152,0.649759848,1938
2011,Men,74,Baseline,0.347913565,0.652086435,1937
2011,Men,75,Baseline,0.344456649,0.655543351,1936
2011,Men,76,Baseline,0.340223156,0.659776844,1935
2011,Men,77,Baseline,0.335355305,0.664644695,1934
2011,Men,78,Baseline,0.329849696,0.670150304,1933
2011,Men,79,Baseline,0.323575813,0.676424187,1932
2011,Men,80,Baseline,0.316377669,0.683622331,1931
2011,Men,81,Baseline,0.30810058,0.69189942,1930
2011,Men,82,Baseline,0.298594579,0.701405421,1929
2011,Men,83,Baseline,0.287723216,0.712276784,1928
2011,Men,84,Baseline,0.275386586,0.724613414,1927
2011,Men,85,Baseline,0.261505147,0.738494853,1926
2011,Men,86,Baseline,0.246011405,0.753988595,1925
2011,Men,87,Baseline,0.228847768,0.771152232,1924
2011,Men,88,Baseline,0.20996482,0.79003518,1923
2011,Men,89,Baseline,0.189319919,0.810680081,1922
2011,Men,90,Baseline,0.166876084,0.833123916,1921
2011,Men,91,Baseline,0.142601078,0.857398922,1920
2011,Men,92,Baseline,0.116466671,0.883533329,1919
2011,Men,93,Baseline,0.088448033,0.911551967,1918
2011,Men,94,Baseline,0.058523233,0.941476767,1917
2011,Men,95,Baseline,0.02667283,0.97332717,1916
2011,Men,96,Baseline,0.02667283,0.97332717,1915
2011,Men,97,Baseline,0.02667283,0.97332717,1914
2011,Men,98,Baseline,0.02667283,0.97332717,1913
2011,Men,99,Baseline,0.02667283,0.97332717,1912
2011,Men,100,Baseline,0.02667283,0.97332717,1911
2011,Women,35,Baseline,0.443190013,0.556809987,1976
2011,Women,36,Baseline,0.449929784,0.550070216,1975
2011,Women,37,Baseline,0.456575184,0.543424816,1974
2011,Women,38,Baseline,0.463125097,0.536874903,1973
2011,Women,39,Baseline,0.46957822,0.53042178,1972
2011,Women,40,Baseline,0.475933031,0.524066969,1971
2011,Women,41,Baseline,0.482187729,0.517812271,1970
2011,Women,42,Baseline,0.488340176,0.511659824,1969
2011,Women,43,Baseline,0.494387803,0.505612197,1968
2011,Women,44,Baseline,0.500327494,0.499672506,1967
2011,Women,45,Baseline,0.506155435,0.493844565,1966
2011,Women,46,Baseline,0.511866898,0.488133102,1965
2011,Women,47,Baseline,0.517455953,0.482544047,1964
2011,Women,48,Baseline,0.522914504,0.477085496,1963
2011,Women,49,Baseline,0.528230338,0.471769662,1962
2011,Women,50,Baseline,0.533388831,0.466611169,1961
2011,Women,51,Baseline,0.538373375,0.461626625,1960
2011,Women,52,Baseline,0.543165199,0.456834801,1959
2011,Women,53,Baseline,0.547744976,0.452255024,1958
2011,Women,54,Baseline,0.552100819,0.447899181,1957
2011,Women,55,Baseline,0.556231526,0.443768474,1956
2011,Women,56,Baseline,0.560157043,0.439842957,1955
2011,Women,57,Baseline,0.563955328,0.436044672,1954
2011,Women,58,Baseline,0.567910929,0.432089071,1953
2011,Women,59,Baseline,0.572606478,0.427393522,1952
2011,Women,60,Baseline,0.574280288,0.425719712,1951
2011,Women,61,Baseline,0.570136652,0.429863348,1950
2011,Women,62,Baseline,0.570153303,0.429846697,1949
2011,Women,63,Baseline,0.571860955,0.428139045,1948
2011,Women,64,Baseline,0.571296947,0.428703053,1947
2011,Women,65,Baseline,0.5764138,0.4235862,1946
2011,Women,66,Baseline,0.59339772,0.40660228,1945
2011,Women,67,Baseline,0.602075044,0.397924956,1944
2011,Women,68,Baseline,0.60625503,0.39374497,1943
2011,Women,69,Baseline,0.613811673,0.386188327,1942
2011,Women,70,Baseline,0.61534636,0.38465364,1941
2011,Women,71,Baseline,0.606340063,0.393659937,1940
2011,Women,72,Baseline,0.599700143,0.400299857,1939
2011,Women,73,Baseline,0.594478928,0.405521072,1938
2011,Women,74,Baseline,0.589269656,0.410730344,1937
2011,Women,75,Baseline,0.583420307,0.416579693,1936
2011,Women,76,Baseline,0.576608305,0.423391695,1935
2011,Women,77,Baseline,0.568686256,0.431313744,1934
2011,Women,78,Baseline,0.559634806,0.440365194,1933
2011,Women,79,Baseline,0.549549986,0.450450014,1932
2011,Women,80,Baseline,0.538554884,0.461445116,1931
2011,Women,81,Baseline,0.52677541,0.47322459,1930
2011,Women,82,Baseline,0.514336469,0.485663531,1929
2011,Women,83,Baseline,0.501353806,0.498646194,1928
2011,Women,84,Baseline,0.487913798,0.512086202,1927
2011,Women,85,Baseline,0.4740862,0.5259138,1926
2011,Women,86,Baseline,0.459930787,0.540069213,1925
2011,Women,87,Baseline,0.445498983,0.554501017,1924
2011,Women,88,Baseline,0.430835224,0.569164776,1923
2011,Women,89,Baseline,0.415978074,0.584021926,1922
2011,Women,90,Baseline,0.400961151,0.599038849,1921
2011,Women,91,Baseline,0.385813889,0.614186111,1920
2011,Women,92,Baseline,0.370562158,0.629437842,1919
2011,Women,93,Baseline,0.355228792,0.644771208,1918
2011,Women,94,Baseline,0.339834015,0.660165985,1917
2011,Women,95,Baseline,0.324395804,0.675604196,1916
2011,Women,96,Baseline,0.308930191,0.691069809,1915
2011,Women,97,Baseline,0.29345152,0.70654848,1914
2011,Women,98,Baseline,0.277972663,0.722027337,1913
2011,Women,99,Baseline,0.262505201,0.737494799,1912
2011,Women,100,Baseline,0.247059584,0.752940416,1911
2012,Men,35,Baseline,0.255129813,0.744870187,1977
2012,Men,36,Baseline,0.272347195,0.727652805,1976
2012,Men,37,Baseline,0.288502613,0.711497387,1975
2012,Men,38,Baseline,0.303599201,0.696400799,1974
2012,Men,39,Baseline,0.317640583,0.682359417,1973
2012,Men,40,Baseline,0.330630979,0.669369021,1972
2012,Men,41,Baseline,0.34257534,0.65742466,1971
2012,Men,42,Baseline,0.353479518,0.646520482,1970
2012,Men,43,Baseline,0.363350483,0.636649517,1969
2012,Men,44,Baseline,0.372196625,0.627803375,1968
2012,Men,45,Baseline,0.380028132,0.619971868,1967
2012,Men,46,Baseline,0.386857522,0.613142478,1966
2012,Men,47,Baseline,0.392700348,0.607299652,1965
2012,Men,48,Baseline,0.397577586,0.602422414,1964
2012,Men,49,Baseline,0.401520483,0.598479517,1963
2012,Men,50,Baseline,0.404566057,0.595433943,1962
2012,Men,51,Baseline,0.406755905,0.593244095,1961
2012,Men,52,Baseline,0.408136492,0.591863508,1960
2012,Men,53,Baseline,0.4087548,0.5912452,1959
2012,Men,54,Baseline,0.408637506,0.591362494,1958
2012,Men,55,Baseline,0.407783206,0.592216794,1957
2012,Men,56,Baseline,0.406137106,0.593862894,1956
2012,Men,57,Baseline,0.403502242,0.596497758,1955
2012,Men,58,Baseline,0.399187157,0.600812843,1954
2012,Men,59,Baseline,0.391830606,0.608169394,1953
